"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United.Kingdom";"Ireland";"Greece";"Portugal";"Spain";"Australia";"New.Zealand";"Canada";"United.States";"Albania";"Bulgaria";"Czecho.slovakia";"Hungary";"Poland";"Romania";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Bolivia";"Costa.Rica";"Dominican.Rep.";"Ecuador";"Guatemala";"Jamaica";"China";"India";"Indonesia";"Japan";"Philippines";"South.Korea";"Thailand";"Taiwan";"Bangladesh";"Burma";"Hong.Kong";"Malaysia";"Pakistan";"Singapore";"Sri.Lanka";"Cambodia";"Vietnam";"Bahrain";"Iran";"Iraq";"Israel";"Jordan";"Kuwait";"Oman";"Qatar";"Saudi.Arabia";"Syria";"Turkey";"UAE";"Yemen";"Algeria";"Angola";"Burkina.Faso";"Cameroon";"Cote.d.Ivoire";"Egypt";"Ethiopia";"Ghana";"Kenya";"Madagascar";"Malawi";"Mali";"Morocco";"Mozambique";"Niger";"Nigeria";"Senegal";"South.Africa";"Sudan";"Tanzania";"Tunisia";"Uganda";"Congo.Kinshasa";"Zambia";"Zimbabwe"
3706;5462;6943;4253;5186;3881;3172;5996;5430;6739;9064;6939;3453;1915;2086;2189;7412;8456;7291;9561;1001;1651;3501;2480;2447;1182;4987;1672;3670;2153;2365;2308;4659;7462;1919;1963;1027;1607;2085;1327;448;619;817;1921;1070;854;817;916;540;396;2218;1559;643;2219;1253;482;658;2104;1720;1364;2817;1663;28878;623;30387;2231;2409;1623;15798;911;1365;1052;474;671;1041;910;390;1122;651;951;324;457;1455;1133;617;753;1259;2535;821;424;1115;687;570;661;701
3959;5747;6936;4571;5461;4206;3451;6032;5670;6949;9684;7123;3544;2062;2168;2386;7507;7653;7533;10116;1045;1989;3524;2695;2510;1256;5073;1702;3731;2150;2477;2426;4955;7663;2013;1951;1117;1606;2047;1412;491;623;864;2126;1151;787;849;949;541;446;2295;1440;608;2253;1293;486;676;2185;1674;1445;3159;1695;29777;650;30523;2374;2264;1784;16709;918;1347;1076;487;687;1058;905;395;1134;771;972;332;464;1458;1155;630;792;1281;2591;837;466;1106;642;624;688;722
3967;5668;6955;4674;5564;4553;3591;6084;5814;6996;9630;7091;3642;2053;2161;2558;7418;7796;7833;10316;1046;1893;3598;2762;2521;1333;4717;1752;3893;2214;2504;2487;4957;7992;2031;2114;1172;1747;2024;1504;538;629;901;2336;1186;835;869;1028;548;449;2377;1471;596;2280;1313;504;694;2267;1629;1557;3029;1726;30023;677;30107;2470;2786;1947;17246;924;1376;1101;500;704;1075;900;399;1084;667;992;339;472;1460;1178;642;830;1303;2619;855;464;1220;664;668;715;724
4137;5818;7292;4652;5684;4905;3830;6543;5985;7145;9840;7346;3747;2309;2298;2528;7505;7856;7984;10613;1089;2085;3544;2786;2618;1411;4874;1784;4112;2277;2439;2579;5139;7956;1800;2353;1123;1761;2032;1691;552;657;913;2474;1254;1072;935;1084;547;454;2460;1440;637;2314;1299;497;712;2351;1588;2129;2910;1757;31361;707;30919;2664;3084;2108;18418;930;1369;1126;512;720;1092;894;415;1202;633;1012;347;480;1468;1199;654;831;1324;2675;871;437;1244;675;693;743;760
4555;6029;7371;5002;5915;5247;3947;6907;6226;7402;10287;7619;3794;2358;2393;2696;7791;8743;7699;10359;1120;2025;3652;2850;2715;1496;4980;1848;3907;2358;2605;2583;5391;8417;1799;2289;1150;1877;2004;1858;557;672;962;2582;1308;1124;898;1145;547;419;2546;1490;636;2320;1296;542;732;2436;1546;2463;3374;1787;33200;736;32302;2912;3453;1993;19884;936;1437;1079;526;737;1110;889;408;1317;687;1032;355;488;1476;1207;667;867;1346;2763;889;461;1249;648;720;772;772
5053;6280;7395;5197;6199;5797;4190;7326;6301;7566;10867;7868;3920;2514;2475;2778;8027;8725;8201;10897;1181;2148;3922;3070;2794;1578;5237;1926;3975;2373;2742;2703;5352;8750;1853;2460;1183;1912;1989;2020;577;676;948;2771;1358;1169;945;1189;508;467;2636;1460;635;2358;1337;518;750;2518;1504;2298;3701;1625;32257;766;31137;2922;3039;2093;19683;942;1445;1148;539;754;1127;885;422;1200;718;1052;354;496;1483;1259;679;865;1367;2830;907;460;1164;672;734;736;808
5397;6422;7439;5295;6448;6177;4368;7499;6575;7797;11439;7929;3897;2706;2564;2978;8108;9000;8652;10914;1193;2128;4110;2906;2864;1623;5285;1896;3957;2391;2843;2751;5360;9124;1706;2301;1260;1922;2100;2190;616;701;955;2948;1410;1149;930;1208;551;490;2729;1505;638;2333;1312;572;764;2599;1594;2389;3860;2139;32876;799;31762;3075;3508;2097;20377;946;1553;1110;554;771;1144;905;428;1236;736;1072;376;504;1451;1242;692;821;1388;2914;976;454;1223;690;768;803;892
5716;6495;7965;5490;6762;6492;4591;7614;6711;8092;11705;8017;3914;2859;2659;3046;8090;9045;8607;10920;1269;2330;4320;3169;2962;1672;5461;1994;4264;2400;2965;2810;5333;10058;1614;2406;1296;1941;2148;2468;636;680;977;3136;1442;1206;910;1253;530;510;2825;1455;650;2318;1297;594;775;2674;1767;2300;3992;2104;31447;831;31351;3119;3627;2194;20282;951;1693;1197;568;788;1162;925;417;1241;738;1092;383;512;1420;1246;704;830;1409;2951;936;452;1159;700;776;817;924
5907;6442;8095;5474;6855;6737;4823;7482;6652;8083;11297;7966;3870;2963;2672;3150;8305;9185;8534;10631;1326;2508;4610;3367;3057;1724;5698;2111;4392;2383;3025;2743;5402;9816;1616;2605;1320;1939;2177;2458;690;716;947;3289;1448;1234;914;1290;510;488;2924;1413;643;2295;1301;608;785;2739;1918;2493;4109;2220;29907;866;31394;3204;3039;2222;20372;955;1719;1241;583;805;1179;947;423;1187;725;1112;388;521;1389;1280;717;797;1429;2939;949;444;1291;685;738;776;906
6051;6608;8637;5754;6979;7177;5131;7737;6874;8288;11870;8240;4038;3040;2794;3050;8628;9630;8676;11230;1381;2684;4780;3484;3096;1783;5241;2221;4042;2473;3016;2682;4860;9997;1575;2598;1284;1975;2211;2541;686;717;987;3554;1501;1243;992;1329;526;555;3027;1467;633;2186;1285;650;792;2796;2024;2523;4501;2287;29568;900;32896;3458;3062;2252;21426;959;1994;1225;598;822;1191;969;427;1321;720;1132;393;530;1358;1323;729;808;1448;2995;1033;453;1217;700;747;915;925
6519;6952;8812;6230;7398;7705;5456;8287;7204;8688;12457;8645;4282;3146;2956;3072;8791;9465;8753;11328;1451;2912;5108;3649;3215;1844;5559;2335;4270;2497;3155;2969;4960;9646;1606;2715;1302;2026;2193;2654;662;753;1015;3986;1476;1226;1078;1353;545;564;3134;1530;647;2310;1295;671;799;2843;2156;2735;4663;2330;28813;935;32810;3719;3023;2247;22433;964;2088;1253;609;832;1256;991;440;1378;726;1125;394;534;1329;1327;761;820;1445;3041;1024;459;1343;713;748;960;938
6827;7253;9312;6658;7718;7952;5853;8202;7595;9137;13099;8857;4508;3393;3119;3436;8653;9745;8833;11402;1463;3072;5263;3816;3426;1951;5862;2437;4366;2540;3172;3142;5036;9002;1603;2723;1232;2069;2216;2702;553;758;1048;4426;1512;1247;1100;1398;564;567;3244;1592;669;2422;1286;647;812;2882;2272;2961;4996;2685;26112;923;30437;4066;3168;2221;23180;969;1799;1396;630;829;1326;1031;453;1388;686;1126;404;527;1341;1337;777;824;1475;3092;996;441;1436;686;653;938;956
6950;7583;9747;6819;8067;8222;6203;8639;7746;9469;13354;8865;4636;3499;3330;3800;9027;9731;9277;11905;1511;3295;5304;3962;3341;2007;5677;2511;4465;2594;3211;3281;4858;9058;1654;2785;1394;2108;2223;2722;550;758;1025;4777;1537;1245;1149;1459;550;606;3652;1637;699;2520;1297;680;885;2931;2250;3017;5267;2620;26443;1084;29049;4445;3796;2297;24250;975;1433;1335;665;840;1335;1074;462;1416;701;1129;393;519;1354;1400;841;846;1487;3179;1037;468;1379;694;767;905;939
7186;7862;9732;6994;8363;8386;6532;8832;7982;9917;13710;9149;4821;3841;3504;4151;9400;10132;9566;12242;1563;3418;5170;4168;3502;2137;5455;2463;4639;2597;3343;3334;4820;9134;1720;2919;1437;2090;2360;2757;590;779;951;5129;1595;1316;1205;1545;594;613;4083;1669;723;2701;1291;712;882;2994;2426;2872;5593;2649;25331;1103;28176;4715;3673;2454;25025;984;1768;1380;652;857;1492;1120;513;1424;714;1096;376;543;1367;1321;905;899;1507;3321;980;483;1556;751;783;902;901
7567;8341;10560;7307;8819;8822;6728;9437;8316;10515;14191;9568;4986;4141;3718;4515;9849;10418;9999;12773;1616;3657;5372;4388;3622;2258;5926;2472;4638;2675;3594;3465;4858;9562;1762;2961;1484;2179;2393;2904;645;821;978;5668;1600;1390;1249;1679;589;612;4327;1728;758;2541;1320;674;895;3073;2526;3115;5916;2981;25303;1075;26466;5005;3637;2496;25676;989;1806;1510;662;872;1688;1166;527;1414;758;1116;359;557;1381;1349;888;910;1499;3450;944;494;1589;785;747;996;953
7734;8559;10953;7670;9165;9186;6964;9798;8690;10815;14504;9752;5051;4509;3992;4762;10152;10879;10473;13419;1675;3850;5533;4410;3787;2386;6371;2448;4577;2689;3702;3594;4860;9841;1806;3127;1259;2184;2447;3070;702;771;990;5934;1633;1436;1308;1810;608;617;4825;1804;771;2667;1329;687;877;3173;2753;3288;6272;3183;23533;1053;25785;5469;3512;2504;26164;996;1870;1596;682;874;1581;1213;547;1393;743;1088;397;553;1394;1351;935;944;1511;3559;984;497;1653;779;738;1147;984
8112;8776;11160;7824;9544;9388;7366;9936;8945;10936;14727;9885;5080;4749;4164;5060;10241;11362;10946;14134;1738;4125;5741;4646;3991;2643;6321;2527;4984;2750;3813;3788;4974;9677;1891;3258;1384;2172;2530;3129;746;762;965;6506;1654;1569;1412;1916;604;580;4865;1846;812;2891;1284;700;859;3283;2940;3349;6190;3137;24050;1080;31782;6102;3139;2735;26483;1007;1725;1660;679;898;1628;1192;557;1354;812;1087;426;564;1436;1364;904;887;1508;3615;947;544;1654;803;768;1056;967
8297;9072;11437;7947;9907;9397;7872;10341;9423;11219;15010;10049;5352;4951;4481;5334;10733;10682;11078;14330;1804;4320;5964;4894;4103;2743;6399;2554;5046;2784;3922;3831;4721;9922;1962;3349;1387;2253;2581;3178;707;807;934;7152;1690;1645;1486;2070;578;586;4824;1830;820;3163;1368;717;731;3402;3176;3164;6222;3059;22409;1749;34860;6463;3291;2795;26610;1019;1824;1727;731;905;1574;1151;569;1339;826;1123;455;571;1480;1425;889;728;1449;3760;893;549;1605;822;738;1107;1015
8621;9416;11837;8093;10267;9864;8382;10894;9551;11561;15374;10410;5770;5266;4873;5588;11148;10545;11479;14863;1869;4368;6223;4934;4317;2739;6578;2704;5128;2874;4073;3685;4747;10249;2079;3497;1349;2274;2751;3284;675;809;1018;7983;1722;1812;1561;2186;619;612;4880;1942;854;3540;1437;730;699;3520;3550;3604;7033;2674;22300;3094;36393;6848;3306;2917;26374;1028;1977;1672;746;946;1730;1146;566;1318;857;1174;437;579;1524;1549;877;699;1499;3819;923;561;1735;818;746;1092;999
9131;10018;12531;8878;10886;10440;8879;11462;9899;12055;16031;10552;6089;5766;4987;6032;11561;11511;11912;15179;1932;4546;6354;5062;4241;2824;7037;2860;5220;2976;4185;3676;4991;10262;2120;3622;1453;2259;2821;3480;713;845;1105;8874;1750;2040;1636;2334;615;626;5345;2005;885;3965;1461;722;739;3646;3897;3604;7723;2773;20963;3782;35280;7170;3801;3002;25495;1040;2105;1691;752;973;1717;1201;575;1325;881;1192;453;564;1570;1693;832;861;1362;3946;954;554;1760;881;792;1056;1086
9747;10611;12686;9577;11410;10839;9367;11967;10027;12716;16904;10767;6199;6211;5473;6319;12024;11189;12050;15030;2004;4773;6466;5028;4428;2853;7302;3057;5231;3094;4320;3854;5184;10672;2176;3754;1561;2335;2919;3849;778;868;1231;9714;1764;2167;1694;2537;630;642;5695;2079;952;4439;1499;647;735;3788;4189;3473;8101;2395;30695;3799;32573;7624;3540;3078;24552;1230;2249;1768;745;982;1808;1254;595;1424;915;1226;447;586;1616;1743;839;1094;1435;4045;888;568;1827;867;768;1073;1282
10200;10970;12934;9765;11845;11077;9489;12319;10472;12748;17381;10941;6354;6624;5871;6618;12290;11576;12562;15304;2084;4902;6658;5238;4707;3221;7530;3278;5597;3194;4365;3916;5130;10446;2204;3889;1680;2409;3012;3803;795;856;1247;10040;1808;2332;1725;2804;586;650;5968;2180;931;4904;1457;615;754;3983;4577;3567;8711;2366;30930;3716;37473;8475;3759;3282;24806;1414;2000;1728;765;990;1803;1283;607;1491;941;1246;498;593;1665;1816;867;1188;1390;4135;923;574;1982;869;795;1042;1353
10771;11503;13538;10448;12264;11481;9795;12597;10922;13002;17774;11294;6663;7400;6355;7099;12404;11850;13072;15944;2165;5110;6858;5336;5010;3396;7635;3538;5429;3355;4602;3930;4945;10245;2260;4118;1837;2677;3160;3858;798;834;1364;10734;1853;2456;1748;3113;506;642;6473;2289;913;5460;1460;577;802;4198;5174;3323;9478;2355;30291;3934;39157;9497;4544;3412;24806;1495;2350;1712;786;1011;1811;1284;624;1402;956;1202;534;609;1669;1823;804;1197;1436;4109;878;593;2287;856;775;1105;1423
11235;12170;13945;11085;12824;11966;10414;13081;11324;13494;18204;12025;6867;7655;7063;7661;12878;12424;13838;16689;2273;5284;7041;5596;5340;3477;7962;3880;5034;3499;4853;4023;4974;10625;2357;4319;2005;3258;3297;4130;838;853;1544;11434;1964;2824;1874;3448;497;628;7105;2560;954;5977;1492;777;836;4376;5462;3753;9645;2388;26689;3279;42916;11040;4017;3477;24887;1640;2357;1789;735;1003;1866;1294;630;1397;970;1144;562;581;1694;1873;652;1262;1315;4175;780;593;2221;835;819;1062;1432
11658;12643;13751;11361;13113;12063;10914;13497;11726;13885;18414;11859;7042;7350;7048;8149;12985;12879;14205;16491;2282;5414;7243;5716;5601;3637;8334;4081;4992;3618;5013;4119;5123;10507;2418;4430;2067;3370;3426;3908;835;843;1549;11145;1979;3015;1910;3422;547;648;7091;2688;962;6276;1517;658;783;4574;5778;3825;10025;2506;21934;3541;36132;12333;4821;3665;28449;1696;2428;1711;710;1024;1839;1317;623;1455;981;1139;582;554;1751;1684;693;1367;1329;4299;833;588;2343;817;823;1114;1427
11646;12441;13621;11441;12957;12041;10619;13374;12271;14183;17224;11847;7316;7722;6517;8346;13170;12489;14316;16284;2289;5831;7399;5805;5808;3761;8122;4187;4273;3621;5158;4326;5417;10472;2516;4396;2111;3456;3412;3845;871;897;1515;11344;2033;3162;1959;3522;529;663;6991;2648;978;6430;1527;580;710;3922;5883;4315;10148;2583;18162;4267;34421;11787;5570;3895;25465;1784;2522;1073;670;1052;1764;1421;610;1247;942;1126;586;616;1831;1404;659;1287;1396;4271;910;600;2446;780;761;1041;1402
12201;13122;14466;11358;13466;12684;11308;13885;12930;14282;17170;12115;7302;8105;6814;8599;13559;12648;14902;16975;2299;5982;7461;5791;5895;3917;7965;4470;4347;3713;5244;4271;5602;10929;2647;4506;2198;3668;3579;3564;853;889;1616;11669;2152;3476;2091;3918;541;692;7906;2910;1006;6797;1546;643;809;4313;6691;5023;10071;3096;18166;4597;34611;12106;5976;4138;25598;2003;2608;954;652;1044;1893;1606;611;1178;943;1063;591;684;1992;1295;648;1385;1487;4267;1044;625;2569;765;697;1071;1357
